     α (°)       N-10 / T1-Re0.530-N9.0    
           -7     -0.1605735  
        -6.75     -0.1331181  
         -6.5     -0.1059422  
        -6.25    -0.07861559  
           -6     -0.0515213  
        -5.75    -0.02422473  
         -5.5    0.002839162  
           -5      0.0555711  
        -4.75     0.08270901  
         -4.5      0.1101107  
        -4.25      0.1376323  
           -4       0.165094  
        -3.75      0.1923052  
         -3.5      0.2192182  
        -3.25      0.2465725  
           -3      0.2740006  
        -2.75      0.3015182  
         -2.5      0.3285871  
        -2.25      0.3545647  
           -2      0.3798036  
        -1.75      0.3989735  
         -1.5      0.4294782  
        -1.25      0.4764344  
           -1      0.5079131  
        -0.75      0.5329673  
         -0.5      0.5580603  
        -0.25      0.5830546  
            0      0.6071917  
         0.25      0.6298404  
          0.5      0.6524835  
         0.75      0.6766011  
            1      0.7019809  
         1.25      0.7276305  
          1.5        0.75346  
         1.75       0.779234  
            2       0.805808  
         2.25      0.8318446  
          2.5      0.8572791  
         2.75      0.8842801  
            3      0.9107423  
         3.25      0.9367505  
          3.5      0.9620043  
         3.75       0.988693  
            4        1.01522  
         4.25       1.041063  
          4.5       1.065632  
         4.75       1.092641  
            5       1.118019  
         5.25       1.143426  
          5.5       1.168447  
         5.75       1.192996  
            6       1.214673  
         6.25       1.230764  
          6.5       1.250256  
         6.75       1.269845  
            7       1.292107  
         7.25       1.311663  
          7.5       1.333319  
         7.75       1.351501  
            8       1.351621  
         8.25         1.3576  
          8.5       1.368238  
         8.75       1.379409  
            9       1.391354  
         9.25       1.401652  
          9.5        1.41015  
         9.75       1.417043  
           10       1.420859  
        10.25       1.421285  
         10.5       1.416855  
        10.75       1.409242  
           11       1.415056  
        11.25       1.418438  
         11.5       1.419818  
        11.75       1.419494  
           12       1.417455  
        12.25       1.413823  
         12.5       1.409342  
        12.75       1.404132  
           13       1.398176  
        13.25       1.391741  
         13.5       1.385168  
        13.75       1.378504  
           14       1.371765  

