     α (°)       N-10 / T1-Re0.530-N9.0    
           -7     0.01393597  
        -6.75     0.01321202  
         -6.5     0.01258395  
        -6.25     0.01204882  
           -6     0.01168085  
        -5.75      0.0113431  
         -5.5     0.01102378  
           -5    0.009966011  
        -4.75    0.009737109  
         -4.5    0.009530225  
        -4.25    0.009391573  
           -4     0.00917261  
        -3.75    0.008906861  
         -3.5    0.008566782  
        -3.25    0.008385504  
           -3    0.008293112  
        -2.75    0.008163307  
         -2.5    0.008001993  
        -2.25    0.007676595  
           -2    0.007264589  
        -1.75    0.006620454  
         -1.5    0.006514738  
        -1.25    0.006650767  
           -1    0.006765619  
        -0.75    0.006871887  
         -0.5    0.006991643  
        -0.25    0.007125683  
            0     0.00731991  
         0.25    0.007643906  
          0.5    0.008037544  
         0.75    0.008355838  
            1    0.008587592  
         1.25    0.008805539  
          1.5    0.009013241  
         1.75    0.009230279  
            2    0.009383094  
         2.25     0.00958185  
          2.5    0.009835789  
         2.75    0.009952213  
            3     0.01011555  
         3.25      0.0103145  
          3.5     0.01057963  
         3.75     0.01071469  
            4     0.01085686  
         4.25     0.01105123  
          4.5     0.01134696  
         4.75     0.01142243  
            5     0.01162105  
         5.25     0.01181882  
          5.5     0.01203161  
         5.75     0.01228071  
            6     0.01274863  
         6.25     0.01367591  
          6.5     0.01431892  
         6.75     0.01493147  
            7      0.0153073  
         7.25     0.01587734  
          7.5     0.01626266  
         7.75     0.01689378  
            8     0.01870296  
         8.25     0.01987782  
          8.5     0.02080116  
         8.75     0.02171513  
            9     0.02257934  
         9.25     0.02357852  
          9.5     0.02472125  
         9.75     0.02602685  
           10      0.0276095  
        10.25     0.02956468  
         10.5     0.03204033  
        10.75     0.03499246  
           11     0.03684279  
        11.25     0.03898478  
         11.5     0.04143011  
        11.75     0.04416662  
           12     0.04719329  
        12.25     0.05050818  
         12.5     0.05405649  
        12.75     0.05781495  
           13     0.06174402  
        13.25     0.06583543  
         13.5      0.0700743  
        13.75     0.07443055  
           14     0.07886705  

