OML1
thisone12NP-T2-VLM2-3.9kg-x0.2m-z-0.0m+Drag


 Ctrl      , α (°)      , β (°)      , φ (°)      , CL         , CD         , CD_viscous , CD_induced , CY         , Cm         , Cm_viscous , Cm_pressure, Cl         , Cn         , Cn_viscous , Cn_pressure, CL/CD      , CL^(3/2)/CD, 1/sqrt(CL) , Lift (N)   , Drag (N)   , Fx_FF (N)  , Fy_FF (N)  , Fz_FF (N)  , Fx_sum (N) , Fy_sum (N) , Fz_sum (N) , Extra drag (N), Fuse drag (N), Cf_Fuse    , Vx (m/s)   , Vz (m/s)   , V (m/s)    , Gamma      , L (N.m)    , M (N.m)    , N (N.m)    , CPx (m)    , CPy (m)    , CPz (m)    , BM (N.m)   , m.g.Vz (W) , Drag x V (W), Efficiency , XCp.Cl     , XNP (m)    , Phugoid Freq. (Hz), Phugoid Damping, Short Period Freq. (Hz), Short Period Damping Ratio, Dutch Roll Freq. (Hz), Dutch Roll Damping, Roll Damping, Spiral Damping, Mass (kg)  , CoG_x (m)  , CoG_z (m)  , 
          0,        -1.5,           0,           0,     0.18463,    0.016125,    0.012648,   0.0034775, -3.2501e-07,   0.0011096,   0.0012581, -0.00014859,  2.6368e-07, -2.7437e-07, -9.3902e-09, -2.6498e-07,       11.45,      4.9197,      2.3273,      38.673,      3.3777,      1.7405, -6.8078e-05,      38.641,      2.6517,  -0.0001387,      47.634,      0.3331,           0,           0,      24.568,      2.1539,      24.661,      4.9915,  8.0611e-05,    0.089019, -8.8315e-05,     0.12536, -7.9675e-08,    0.031077,      7.7272,      83.297,      83.297,     0.78032,    0.023145,     0.17072,           0,           0,           0,           0,           0,           0,           0,           0,      3.9422,       0.123,      -0.013, 
          0,          -1,           0,           0,     0.22166,    0.017375,    0.012786,   0.0045894, -3.2524e-07,  -0.0034199,   0.0012558,  -0.0046757,  2.8647e-07, -2.7523e-07, -9.4875e-09, -2.6574e-07,      12.757,      6.0061,       2.124,      38.673,      3.0315,      1.4755, -5.6745e-05,      38.653,      1.9868, -0.00011553,      44.888,     0.27745,           0,           0,      22.438,      1.7643,      22.507,      4.4821,  7.3721e-05,    -0.22854, -7.3302e-05,     0.13156,  -7.057e-08,    0.030279,      7.3343,      68.231,      68.231,      0.8522,    0.029162,     0.17057,           0,           0,           0,           0,           0,           0,           0,           0,      3.9422,       0.123,      -0.013, 
          0,        -0.5,           0,           0,     0.25865,    0.018765,     0.01285,    0.005915, -3.2541e-07,  -0.0079519,   0.0012408,  -0.0091927,  3.0924e-07, -2.7642e-07, -9.5499e-09, -2.6687e-07,      13.784,      7.0099,      1.9663,      38.673,      2.8057,      1.2219, -4.8656e-05,      38.664,      1.5113, -9.8994e-05,      42.933,     0.23777,           0,           0,      20.781,      1.5116,      20.836,      4.1496,  6.8809e-05,    -0.45541, -6.2578e-05,     0.13646, -6.3338e-08,    0.029645,      7.0543,       58.46,       58.46,     0.90032,    0.035294,     0.17042,           0,           0,           0,           0,           0,           0,           0,           0,      3.9422,       0.123,      -0.013, 
          0,           0,           0,           0,     0.29559,    0.019976,    0.012522,   0.0074534, -3.2554e-07,    -0.01251,   0.0011884,   -0.013698,  3.3199e-07, -2.7766e-07, -9.2797e-09, -2.6838e-07,      14.797,      8.0451,      1.8393,      38.673,      2.6135,     0.97517, -4.2592e-05,      38.673,      1.1539, -8.6594e-05,      41.472,     0.20806,           0,           0,      19.446,      1.3171,       19.49,      3.8661,  6.5132e-05,     -0.6269, -5.4472e-05,      0.1404, -5.7455e-08,    0.029129,      6.8446,      50.938,      50.938,     0.93316,      0.0415,     0.17026,           0,           0,           0,           0,           0,           0,           0,           0,      3.9422,       0.123,      -0.013, 
          0,         0.5,           0,           0,     0.33247,     0.02145,    0.012246,   0.0092038, -3.2562e-07,   -0.017056,   0.0011347,   -0.018191,  3.5471e-07, -2.7925e-07,  -9.002e-09, -2.7025e-07,        15.5,      8.9375,      1.7343,      38.673,       2.495,     0.73306, -3.7875e-05,      38.681,     0.87523, -7.6951e-05,      40.338,     0.18497,           0,           0,      18.339,      1.1856,      18.377,      3.6913,  6.2277e-05,    -0.75991, -4.8165e-05,     0.14364, -5.2573e-08,    0.028702,      6.6818,      45.852,      45.852,     0.95606,    0.047757,     0.17009,           0,           0,           0,           0,           0,           0,           0,           0,      3.9422,       0.123,      -0.013, 
          0,           1,           0,           0,     0.36929,    0.023394,    0.012229,    0.011165, -3.2564e-07,   -0.021574,   0.0010961,    -0.02267,  3.7737e-07, -2.8146e-07, -8.9679e-09, -2.7249e-07,      15.786,      9.5931,      1.6456,      38.673,      2.4498,      0.4941, -3.4102e-05,      38.687,     0.65158, -6.9234e-05,      39.434,     0.16653,           0,           0,      17.402,      1.1046,      17.437,      3.6247,  5.9995e-05,    -0.86533, -4.3156e-05,     0.14635, -4.8458e-08,    0.028341,      6.5516,      42.718,      42.718,     0.97235,    0.054045,     0.16992,           0,           0,           0,           0,           0,           0,           0,           0,      3.9422,       0.123,      -0.013, 
          0,         1.5,           0,           0,     0.40604,    0.025834,    0.012498,    0.013336, -3.2562e-07,    -0.02606,   0.0010728,   -0.027133,  3.9997e-07, -2.8428e-07, -9.1795e-09,  -2.751e-07,      15.717,      10.015,      1.5693,      38.673,      2.4605,     0.25738, -3.1013e-05,      38.693,     0.46794, -6.2919e-05,      38.697,     0.15146,           0,           0,      16.596,       1.058,      16.629,      3.6405,  5.8131e-05,    -0.95068,  -3.909e-05,     0.14863, -4.4941e-08,    0.028034,      6.4452,      40.917,      40.917,     0.98415,     0.06035,     0.16974,           0,           0,           0,           0,           0,           0,           0,           0,      3.9422,       0.123,      -0.013, 
          0,           2,           0,           0,     0.44271,    0.028527,    0.012812,    0.015715, -3.2555e-07,   -0.030531,   0.0010484,   -0.031579,   4.225e-07, -2.8751e-07, -9.4332e-09, -2.7808e-07,      15.519,      10.326,      1.5029,      38.673,      2.4919,    0.022277, -2.8438e-05,      38.697,      0.3143, -5.7653e-05,      38.084,     0.13891,           0,           0,      15.893,      1.0262,      15.926,      3.6868,  5.6579e-05,     -1.0215, -3.5706e-05,     0.15058,   -4.19e-08,    0.027768,      6.3565,      39.686,      39.686,     0.99281,    0.066664,     0.16956,           0,           0,           0,           0,           0,           0,           0,           0,      3.9422,       0.123,      -0.013, 
          0,         2.5,           0,           0,     0.47929,     0.03145,     0.01315,    0.018301, -3.2543e-07,   -0.034985,   0.0010221,   -0.036007,  4.4494e-07, -2.9113e-07, -9.7113e-09, -2.8142e-07,       15.24,      10.551,      1.4444,      38.673,      2.5377,    -0.21165, -2.6258e-05,      38.701,     0.18372, -5.3194e-05,      37.566,     0.12831,           0,           0,      15.273,      1.0044,      15.306,      3.7543,  5.5267e-05,     -1.0812, -3.2842e-05,     0.15226, -3.9244e-08,    0.027535,      6.2814,      38.842,      38.842,     0.99924,    0.072977,     0.16937,           0,           0,           0,           0,           0,           0,           0,           0,      3.9422,       0.123,      -0.013, 
          0,           3,           0,           0,     0.51577,    0.034591,      0.0135,    0.021091, -3.2525e-07,   -0.039422,  0.00099343,   -0.040416,  4.6728e-07, -2.9512e-07, -9.9996e-09, -2.8512e-07,       14.91,      10.708,      1.3924,      38.673,      2.5937,     -0.4447, -2.4388e-05,      38.703,    0.071272, -4.9369e-05,      37.124,     0.11924,           0,           0,      14.722,     0.98956,      14.755,      3.8369,  5.4143e-05,     -1.1322, -3.0386e-05,     0.15372, -3.6904e-08,    0.027331,       6.217,      38.269,      38.269,       1.004,    0.079284,     0.16917,           0,           0,           0,           0,           0,           0,           0,           0,      3.9422,       0.123,      -0.013, 
